time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
2.2,3,0.704,3.3516,2.0,20.0,10.0,2.0,1.377,3.516
2.3,1,4.1147,2.0565,2.0,20.0,10.0,2.0,0.0,3.5206
2.3,2,0.8766,-0.5627,2.0,20.0,10.0,2.0,1.3843,3.5206
2.3,3,0.8764,3.4378,2.0,20.0,10.0,2.0,1.3842,3.5206
2.4,1,4.2936,2.1459,2.0,20.0,10.0,2.0,0.0,3.5245
2.4,2,1.0499,-0.476,2.0,20.0,10.0,2.0,1.3905,3.5245
2.4,3,1.0498,3.5244,2.0,20.0,10.0,2.0,1.3904,3.5245
2.5,1,4.4725,2.2354,2.0,20.0,10.0,2.0,0.0,3.528
2.5,2,1.224,-0.3889,2.0,20.0,10.0,2.0,1.3958,3.528
2.5,3,1.2239,3.6114,2.0,20.0,10.0,2.0,1.3958,3.528
2.6,1,4.6514,2.3248,2.0,20.0,10.0,2.0,0.0,3.5309
2.6,2,1.3988,-0.3015,2.0,20.0,10.0,2.0,1.4004,3.5309
2.6,3,1.3987,3.6988,2.0,20.0,10.0,2.0,1.4004,3.5309
2.7,1,4.8302,2.4143,2.0,20.0,10.0,2.0,0.0,3.5334
2.7,2,1.5742,-0.2138,2.0,20.0,10.0,2.0,1.4044,3.5334
2.7,3,1.5741,3.7864,2.0,20.0,10.0,2.0,1.4043,3.5334
2.8,1,5.0091,2.5037,2.0,20.0,10.0,2.0,0.0,3.5356
2.8,2,1.75,-0.1259,2.0,20.0,10.0,2.0,1.4077,3.5356
2.8,3,1.75,3.8743,2.0,20.0,10.0,2.0,1.4077,3.5356
2.9,1,5.188,2.5932,2.0,20.0,10.0,2.0,0.0,3.5375
2.9,2,1.9263,-0.0378,2.0,20.0,10.0,2.0,1.4107,3.5375
2.9,3,1.9262,3.9624,2.0,20.0,10.0,2.0,1.4106,3.5375
3.0,1,5.3669,2.6826,2.0,20.0,10.0,2.0,0.0,3.5391
3.0,2,2.1029,0.0506,2.0,20.0,10.0,2.0,1.4132,3.5391
3.0,3,2.1029,4.0507,2.0,20.0,10.0,2.0,1.4131,3.5391
3.1,1,5.5458,2.7721,2.0,20.0,10.0,2.0,0.0,3.5405
3.1,2,2.2799,0.1391,2.0,20.0,10.0,2.0,1.4153,3.5405
3.1,3,2.2798,4.1392,2.0,20.0,10.0,2.0,1.4153,3.5405
3.2,1,5.7246,2.8615,2.0,20.0,10.0,2.0,0.0,3.5417
3.2,2,2.4571,0.2277,2.0,20.0,10.0,2.0,1.4172,3.5417
3.2,3,2.4571,4.2278,2.0,20.0,10.0,2.0,1.4172,3.5417
3.3,1,5.9035,2.951,2.0,20.0,10.0,2.0,0.0,3.5427
3.3,2,2.6346,0.3164,2.0,20.0,10.0,2.0,1.4188,3.5427
3.3,3,2.6345,4.3165,2.0,20.0,10.0,2.0,1.4188,3.5427
3.4,1,6.0824,3.0404,2.0,20.0,10.0,2.0,0.0,3.5436
3.4,2,2.8122,0.4053,2.0,20.0,10.0,2.0,1.4201,3.5436
3.4,3,2.8122,4.4054,2.0,20.0,10.0,2.0,1.4201,3.5436
3.5,1,6.2613,3.1299,2.0,20.0,10.0,2.0,0.0,3.5444
3.5,2,2.9901,0.4942,2.0,20.0,10.0,2.0,1.4213,3.5444
3.5,3,2.99,4.4943,2.0,20.0,10.0,2.0,1.4213,3.5444
3.6,1,6.4402,3.2193,2.0,20.0,10.0,2.0,0.0,3.545
3.6,2,3.168,0.5832,2.0,20.0,10.0,2.0,1.4223,3.545
3.6,3,3.168,4.5833,2.0,20.0,10.0,2.0,1.4223,3.545
3.7,1,6.6191,3.3088,2.0,20.0,10.0,2.0,0.0,3.5456
3.7,2,3.3461,0.6722,2.0,20.0,10.0,2.0,1.4232,3.5456
3.7,3,3.3461,4.6723,2.0,20.0,10.0,2.0,1.4232,3.5456
3.8,1,6.7979,3.3982,2.0,20.0,10.0,2.0,0.0,3.5461
3.8,2,3.5243,0.7614,2.0,20.0,10.0,2.0,1.424,3.5461
3.8,3,3.5243,4.7614,2.0,20.0,10.0,2.0,1.424,3.5461
3.9,1,6.9768,3.4877,2.0,20.0,10.0,2.0,0.0,3.5465
3.9,2,3.7026,0.8505,2.0,20.0,10.0,2.0,1.4246,3.5465
3.9,3,3.7026,4.8506,2.0,20.0,10.0,2.0,1.4246,3.5465
4.0,1,7.1557,3.5771,2.0,20.0,10.0,2.0,0.0,3.5469
4.0,2,3.881,0.9397,2.0,20.0,10.0,2.0,1.4252,3.5469
4.0,3,3.881,4.9398,2.0,20.0,10.0,2.0,1.4252,3.5469
4.1,1,7.3346,3.6666,2.0,20.0,10.0,2.0,0.0,3.5472
4.1,2,4.0595,1.029,2.0,20.0,10.0,2.0,1.4256,3.5472
4.1,3,4.0595,5.029,2.0,20.0,10.0,2.0,1.4256,3.5472
4.2,1,7.5135,3.756,2.0,20.0,10.0,2.0,0.0,3.5474
4.2,2,4.238,1.1182,2.0,20.0,10.0,2.0,1.4261,3.5474
4.2,3,4.238,5.1183,2.0,20.0,10.0,2.0,1.426,3.5474
4.3,1,7.6923,3.8455,2.0,20.0,10.0,2.0,0.0,3.5477
4.3,2,4.4166,1.2075,2.0,20.0,10.0,2.0,1.4264,3.5477
4.3,3,4.4166,5.2076,2.0,20.0,10.0,2.0,1.4264,3.5477
4.4,1,7.8712,3.9349,2.0,20.0,10.0,2.0,0.0,3.5479
4.4,2,4.5952,1.2968,2.0,20.0,10.0,2.0,1.4267,3.5479
4.4,3,4.5952,5.2969,2.0,20.0,10.0,2.0,1.4267,3.5479
4.5,1,8.0501,4.0244,2.0,20.0,10.0,2.0,0.0,3.548
4.5,2,4.7738,1.3862,2.0,20.0,10.0,2.0,1.427,3.548
4.5,3,4.7738,5.3862,2.0,20.0,10.0,2.0,1.427,3.548
4.6,1,8.229,4.1138,2.0,20.0,10.0,2.0,0.0,3.5482
4.6,2,4.9525,1.4755,2.0,20.0,10.0,2.0,1.4272,3.5482
4.6,3,4.9525,5.4755,2.0,20.0,10.0,2.0,1.4272,3.5482
4.7,1,8.4079,4.2033,2.0,20.0,10.0,2.0,0.0,3.5483
4.7,2,5.1312,1.5649,2.0,20.0,10.0,2.0,1.4274,3.5483
4.7,3,5.1312,5.5649,2.0,20.0,10.0,2.0,1.4274,3.5483
4.8,1,8.5868,4.2927,2.0,20.0,10.0,2.0,0.0,3.5484
4.8,2,5.3099,1.6543,2.0,20.0,10.0,2.0,1.4276,3.5484
4.8,3,5.3099,5.6543,2.0,20.0,10.0,2.0,1.4275,3.5484
4.9,1,8.7656,4.3822,2.0,20.0,10.0,2.0,0.0,3.5485
4.9,2,5.4887,1.7437,2.0,20.0,10.0,2.0,1.4277,3.5485
4.9,3,5.4887,5.7437,2.0,20.0,10.0,2.0,1.4277,3.5485
5.0,1,8.9445,4.4716,2.0,20.0,10.0,2.0,0.0,3.5486
5.0,2,5.6675,1.8331,2.0,20.0,10.0,2.0,1.4278,3.5486
5.0,3,5.6675,5.8331,2.0,20.0,10.0,2.0,1.4278,3.5486
5.1,1,9.1234,4.5611,2.0,20.0,10.0,2.0,0.0,3.5487
5.1,2,5.8463,1.9225,2.0,20.0,10.0,2.0,1.4279,3.5487
5.1,3,5.8462,5.9225,2.0,20.0,10.0,2.0,1.4279,3.5487
5.2,1,9.3023,4.6505,2.0,20.0,10.0,2.0,0.0,3.5487
5.2,2,6.0251,2.0119,2.0,20.0,10.0,2.0,1.428,3.5487
5.2,3,6.025,6.0119,2.0,20.0,10.0,2.0,1.428,3.5487
5.3,1,9.4812,4.74,2.0,20.0,10.0,2.0,0.0,3.5488
5.3,2,6.2039,2.1013,2.0,20.0,10.0,2.0,1.4281,3.5488
5.3,3,6.2039,6.1013,2.0,20.0,10.0,2.0,1.4281,3.5488
5.4,1,9.66,4.8295,2.0,20.0,10.0,2.0,0.0,3.5488
5.4,2,6.3827,2.1907,2.0,20.0,10.0,2.0,1.4282,3.5488
5.4,3,6.3827,6.1907,2.0,20.0,10.0,2.0,1.4282,3.5488
5.5,1,9.8389,4.9189,2.0,20.0,10.0,2.0,0.0,3.5489
5.5,2,6.5615,2.2801,2.0,20.0,10.0,2.0,1.4282,3.5489
