time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
1.3,5,-2.7911,4.6294,2.0,20.0,10.0,2.0,1.2375,2.8876
1.4,1,2.5078,1.2452,2.0,20.0,10.0,2.0,0.0,2.8883
1.4,2,-0.5947,-1.2946,2.0,20.0,10.0,2.0,1.2276,2.8883
1.4,3,-0.5951,2.6638,2.0,20.0,10.0,2.0,1.2468,2.8883
1.4,4,-2.6373,-3.3372,2.0,20.0,10.0,2.0,1.2847,2.8883
1.4,5,-2.6375,4.7063,2.0,20.0,10.0,2.0,1.2657,2.8883
1.5,1,2.6867,1.3347,2.0,20.0,10.0,2.0,0.0,2.8889
1.5,2,-0.4372,-1.2159,2.0,20.0,10.0,2.0,1.2515,2.8889
1.5,3,-0.4376,2.7421,2.0,20.0,10.0,2.0,1.2709,2.8889
1.5,4,-2.4801,-3.2588,2.0,20.0,10.0,2.0,1.309,2.8889
1.5,5,-2.4803,4.7849,2.0,20.0,10.0,2.0,1.29,2.8889
1.6,1,2.8655,1.4242,2.0,20.0,10.0,2.0,0.0,2.8893
1.6,2,-0.2767,-1.1357,2.0,20.0,10.0,2.0,1.2721,2.8893
1.6,3,-0.277,2.8219,2.0,20.0,10.0,2.0,1.2916,2.8893
1.6,4,-2.3199,-3.1789,2.0,20.0,10.0,2.0,1.33,2.8893
1.6,5,-2.3201,4.865,2.0,20.0,10.0,2.0,1.3108,2.8893
1.7,1,3.0444,1.5137,2.0,20.0,10.0,2.0,0.0,2.8896
1.7,2,-0.1137,-1.0542,2.0,20.0,10.0,2.0,1.2898,2.8896
1.7,3,-0.1139,2.9031,2.0,20.0,10.0,2.0,1.3094,2.8896
1.7,4,-2.1571,-3.0976,2.0,20.0,10.0,2.0,1.348,2.8896
1.7,5,-2.1572,4.9464,2.0,20.0,10.0,2.0,1.3288,2.8896
1.8,1,3.2232,1.6032,2.0,20.0,10.0,2.0,0.0,2.8899
1.8,2,0.0516,-0.9716,2.0,20.0,10.0,2.0,1.305,2.8899
1.8,3,0.0513,2.9854,2.0,20.0,10.0,2.0,1.3247,2.8899
