time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
0.1,1,0.1414,0.1414,2.0,20.0,20.0,2.0,0.0,9.6619
0.1,2,-0.0329,9.8027,2.0,20.0,20.0,2.0,11.8034,9.6619
0.1,3,9.8027,0.0329,2.0,20.0,20.0,2.0,11.8504,9.6619
0.1,4,19.8027,-0.0329,2.0,20.0,20.0,2.0,23.9686,9.6619
0.1,5,-0.0485,19.806,2.0,20.0,20.0,2.0,16.1213,9.6619
0.2,1,0.2828,0.2828,2.0,20.0,20.0,2.0,0.0,9.3255
0.2,2,-0.0638,9.6051,2.0,20.0,20.0,2.0,11.4424,9.3255
0.2,3,9.6059,0.0685,2.0,20.0,20.0,2.0,11.5376,9.3255
0.2,4,19.6053,-0.0648,2.0,20.0,20.0,2.0,23.6067,9.3255
0.2,5,-0.0958,19.6116,2.0,20.0,20.0,2.0,15.7508,9.3255
0.3,1,0.4243,0.4243,2.0,20.0,20.0,2.0,0.0,8.991
0.3,2,-0.0927,9.4072,2.0,20.0,20.0,2.0,11.0826,8.991
0.3,3,9.4096,0.1069,2.0,20.0,20.0,2.0,11.2271,8.991
0.3,4,19.4077,-0.0957,2.0,20.0,20.0,2.0,23.2454,8.991
0.3,5,-0.1418,19.417,2.0,20.0,20.0,2.0,15.381,8.991
0.4,1,0.5657,0.5657,2.0,20.0,20.0,2.0,0.0,8.6583
0.4,2,-0.1195,9.209,2.0,20.0,20.0,2.0,10.7242,8.6583
0.4,3,9.2139,0.1481,2.0,20.0,20.0,2.0,10.9192,8.6583
0.4,4,19.2099,-0.1257,2.0,20.0,20.0,2.0,22.8847,8.6583
0.4,5,-0.1864,19.222,2.0,20.0,20.0,2.0,15.0119,8.6583
0.5,1,0.7071,0.7071,2.0,20.0,20.0,2.0,0.0,8.3277
0.5,2,-0.144,9.0105,2.0,20.0,20.0,2.0,10.3673,8.3277
0.5,3,9.0189,0.1924,2.0,20.0,20.0,2.0,10.614,8.3277
0.5,4,19.012,-0.1546,2.0,20.0,20.0,2.0,22.5246,8.3277
0.5,5,-0.2297,19.0268,2.0,20.0,20.0,2.0,14.6436,8.3277
0.6,1,0.8485,0.8485,2.0,20.0,20.0,2.0,0.0,7.9993
0.6,2,-0.1662,8.8118,2.0,20.0,20.0,2.0,10.0118,7.9993
0.6,3,8.8246,0.2398,2.0,20.0,20.0,2.0,10.3115,7.9993
0.6,4,18.814,-0.1825,2.0,20.0,20.0,2.0,22.1652,7.9993
0.6,5,-0.2715,18.8312,2.0,20.0,20.0,2.0,14.2762,7.9993
0.7,1,0.9899,0.9899,2.0,20.0,20.0,2.0,0.0,7.6731
0.7,2,-0.1858,8.6127,2.0,20.0,20.0,2.0,9.658,7.6731
0.7,3,8.6311,0.2904,2.0,20.0,20.0,2.0,10.012,7.6731
0.7,4,18.6158,-0.2093,2.0,20.0,20.0,2.0,21.8065,7.6731
0.7,5,-0.3119,18.6353,2.0,20.0,20.0,2.0,13.9096,7.6731
0.8,1,1.1314,1.1314,2.0,20.0,20.0,2.0,0.0,7.3494
0.8,2,-0.2029,8.4135,2.0,20.0,20.0,2.0,9.3059,7.3494
0.8,3,8.4385,0.3443,2.0,20.0,20.0,2.0,9.7155,7.3494
0.8,4,18.4175,-0.2349,2.0,20.0,20.0,2.0,21.4484,7.3494
0.8,5,-0.3507,18.4391,2.0,20.0,20.0,2.0,13.5439,7.3494
0.9,1,1.2728,1.2728,2.0,20.0,20.0,2.0,0.0,7.0283
0.9,2,-0.2172,8.214,2.0,20.0,20.0,2.0,8.9557,7.0283
0.9,3,8.2469,0.4017,2.0,20.0,20.0,2.0,9.4222,7.0283
0.9,4,18.219,-0.2595,2.0,20.0,20.0,2.0,21.091,7.0283
0.9,5,-0.3878,18.2426,2.0,20.0,20.0,2.0,13.1791,7.0283
1.0,1,1.4142,1.4142,2.0,20.0,20.0,2.0,0.0,6.71
1.0,2,-0.2286,8.0143,2.0,20.0,20.0,2.0,8.6075,6.71
1.0,3,8.0564,0.4626,2.0,20.0,20.0,2.0,9.1323,6.71
1.0,4,18.0203,-0.2829,2.0,20.0,20.0,2.0,20.7344,6.71
1.0,5,-0.4233,18.0458,2.0,20.0,20.0,2.0,12.8153,6.71
1.1,1,1.5556,1.5556,2.0,20.0,20.0,2.0,0.0,6.3948
1.1,2,-0.2369,7.8145,2.0,20.0,20.0,2.0,8.2614,6.3948
1.1,3,7.8672,0.5273,2.0,20.0,20.0,2.0,8.846,6.3948
1.1,4,17.8216,-0.3051,2.0,20.0,20.0,2.0,20.3785,6.3948
1.1,5,-0.4571,17.8486,2.0,20.0,20.0,2.0,12.4526,6.3948
1.2,1,1.6971,1.6971,2.0,20.0,20.0,2.0,0.0,6.0827
1.2,2,-0.2419,7.6145,2.0,20.0,20.0,2.0,7.9177,6.0827
1.2,3,7.6792,0.5957,2.0,20.0,20.0,2.0,8.5635,6.0827
1.2,4,17.6227,-0.3261,2.0,20.0,20.0,2.0,20.0235,6.0827
1.2,5,-0.489,17.6512,2.0,20.0,20.0,2.0,12.091,6.0827
1.3,1,1.8385,1.8385,2.0,20.0,20.0,2.0,0.0,5.7742
1.3,2,-0.2435,7.4145,2.0,20.0,20.0,2.0,7.5765,5.7742
1.3,3,7.4928,0.6682,2.0,20.0,20.0,2.0,8.2849,5.7742
1.3,4,17.4237,-0.3459,2.0,20.0,20.0,2.0,19.6692,5.7742
1.3,5,-0.519,17.4535,2.0,20.0,20.0,2.0,11.7306,5.7742
1.4,1,1.9799,1.9799,2.0,20.0,20.0,2.0,0.0,5.4694
1.4,2,-0.2413,7.2146,2.0,20.0,20.0,2.0,7.238,5.4694
1.4,3,7.308,0.7447,2.0,20.0,20.0,2.0,8.0105,5.4694
1.4,4,17.2245,-0.3643,2.0,20.0,20.0,2.0,19.3157,5.4694
1.4,5,-0.547,17.2554,2.0,20.0,20.0,2.0,11.3714,5.4694
1.5,1,2.1213,2.1213,2.0,20.0,20.0,2.0,0.0,5.1688
1.5,2,-0.2352,7.0147,2.0,20.0,20.0,2.0,6.9025,5.1688
1.5,3,7.1251,0.8255,2.0,20.0,20.0,2.0,7.7405,5.1688
1.5,4,17.0253,-0.3815,2.0,20.0,20.0,2.0,18.9631,5.1688
1.5,5,-0.5729,17.0571,2.0,20.0,20.0,2.0,11.0135,5.1688
1.6,1,2.2627,2.2627,2.0,20.0,20.0,2.0,0.0,4.8727
1.6,2,-0.2249,6.8149,2.0,20.0,20.0,2.0,6.5703,4.8727
1.6,3,6.9441,0.9106,2.0,20.0,20.0,2.0,7.4751,4.8727
1.6,4,16.8259,-0.3973,2.0,20.0,20.0,2.0,18.6114,4.8727
1.6,5,-0.5966,16.8585,2.0,20.0,20.0,2.0,10.657,4.8727
1.7,1,2.4042,2.4042,2.0,20.0,20.0,2.0,0.0,4.5816
1.7,2,-0.21,6.6155,2.0,20.0,20.0,2.0,6.2416,4.5816
1.7,3,6.7654,1.0003,2.0,20.0,20.0,2.0,7.2146,4.5816
1.7,4,16.6264,-0.4117,2.0,20.0,20.0,2.0,18.2607,4.5816
1.7,5,-0.618,16.6597,2.0,20.0,20.0,2.0,10.302,4.5816
1.8,1,2.5456,2.5456,2.0,20.0,20.0,2.0,0.0,4.2959
1.8,2,-0.1903,6.4164,2.0,20.0,20.0,2.0,5.9168,4.2959
1.8,3,6.589,1.0947,2.0,20.0,20.0,2.0,6.9593,4.2959
1.8,4,16.4268,-0.4246,2.0,20.0,20.0,2.0,17.9109,4.2959
1.8,5,-0.637,16.4606,2.0,20.0,20.0,2.0,9.9486,4.2959
1.9,1,2.687,2.687,2.0,20.0,20.0,2.0,0.0,4.0162
1.9,2,-0.1655,6.218,2.0,20.0,20.0,2.0,5.5963,4.0162
1.9,3,6.4153,1.1939,2.0,20.0,20.0,2.0,6.7094,4.0162
1.9,4,16.2272,-0.4361,2.0,20.0,20.0,2.0,17.562,4.0162
1.9,5,-0.6535,16.2613,2.0,20.0,20.0,2.0,9.597,4.0162
2.0,1,2.8284,2.8284,2.0,20.0,20.0,2.0,0.0,3.7433
2.0,2,-0.135,6.0203,2.0,20.0,20.0,2.0,5.2805,3.7433
2.0,3,6.2446,1.298,2.0,20.0,20.0,2.0,6.4652,3.7433
2.0,4,16.0274,-0.4461,2.0,20.0,20.0,2.0,17.2143,3.7433
2.0,5,-0.6672,16.0617,2.0,20.0,20.0,2.0,9.2471,3.7433
2.1,1,2.9698,2.9698,2.0,20.0,20.0,2.0,0.0,3.478
2.1,2,-0.0985,5.8237,2.0,20.0,20.0,2.0,4.97,3.478
2.1,3,6.077,1.4072,2.0,20.0,20.0,2.0,6.227,3.478
2.1,4,15.8276,-0.4545,2.0,20.0,20.0,2.0,16.8676,3.478
2.1,5,-0.6781,15.862,2.0,20.0,20.0,2.0,8.8992,3.478
2.2,1,3.1113,3.1113,2.0,20.0,20.0,2.0,0.0,3.2213
2.2,2,-0.0555,5.6284,2.0,20.0,20.0,2.0,4.6653,3.2213
2.2,3,5.913,1.5216,2.0,20.0,20.0,2.0,5.9952,3.2213
2.2,4,15.6277,-0.4614,2.0,20.0,20.0,2.0,16.522,3.2213
2.2,5,-0.686,15.6622,2.0,20.0,20.0,2.0,8.5533,3.2213
2.3,1,3.2527,3.2527,2.0,20.0,20.0,2.0,0.0,2.9744
2.3,2,-0.0055,5.4347,2.0,20.0,20.0,2.0,4.3672,2.9744
2.3,3,5.7528,1.6414,2.0,20.0,20.0,2.0,5.77,2.9744
2.3,4,15.4278,-0.4665,2.0,20.0,20.0,2.0,16.1775,2.9744
2.3,5,-0.6908,15.4623,2.0,20.0,20.0,2.0,8.2098,2.9744
2.4,1,3.3933,3.3947,2.0,20.0,20.0,2.0,0.0,2.7398
2.4,2,0.0521,5.2432,2.0,20.0,20.0,2.0,4.0755,2.7398
2.4,3,5.5969,1.7666,2.0,20.0,20.0,2.0,5.5528,2.7398
2.4,4,15.2278,-0.47,2.0,20.0,20.0,2.0,15.8351,2.7398
2.4,5,-0.6921,15.2623,2.0,20.0,20.0,2.0,7.8681,2.7398
2.5,1,3.5263,3.5423,2.0,20.0,20.0,2.0,0.0,2.5277
2.5,2,0.1179,5.0543,2.0,20.0,20.0,2.0,3.7839,2.5277
2.5,3,5.4457,1.8975,2.0,20.0,20.0,2.0,5.3522,2.5277
2.5,4,15.0278,-0.4717,2.0,20.0,20.0,2.0,15.5015,2.5277
2.5,5,-0.69,15.0623,2.0,20.0,20.0,2.0,7.5231,2.5277
2.6,1,3.6535,3.6959,2.0,20.0,20.0,2.0,0.0,2.3391
2.6,2,0.1924,4.8687,2.0,20.0,20.0,2.0,3.493,2.3391
