time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
2.2,3,0.7066,3.3463,2.0,20.0,10.0,2.0,1.377,3.5159
2.3,1,4.1172,2.0513,2.0,20.0,10.0,2.0,0.0,3.5204
2.3,2,0.8792,-0.568,2.0,20.0,10.0,2.0,1.3843,3.5204
2.3,3,0.8791,3.4324,2.0,20.0,10.0,2.0,1.3842,3.5204
2.4,1,4.2961,2.1408,2.0,20.0,10.0,2.0,0.0,3.5244
2.4,2,1.0525,-0.4813,2.0,20.0,10.0,2.0,1.3905,3.5244
2.4,3,1.0524,3.5191,2.0,20.0,10.0,2.0,1.3904,3.5244
2.5,1,4.4749,2.2303,2.0,20.0,10.0,2.0,0.0,3.5278
2.5,2,1.2266,-0.3942,2.0,20.0,10.0,2.0,1.3958,3.5278
2.5,3,1.2265,3.6061,2.0,20.0,10.0,2.0,1.3958,3.5278
2.6,1,4.6538,2.3198,2.0,20.0,10.0,2.0,0.0,3.5307
2.6,2,1.4014,-0.3068,2.0,20.0,10.0,2.0,1.4004,3.5307
2.6,3,1.4013,3.6935,2.0,20.0,10.0,2.0,1.4004,3.5307
2.7,1,4.8326,2.4093,2.0,20.0,10.0,2.0,0.0,3.5332
2.7,2,1.5767,-0.2191,2.0,20.0,10.0,2.0,1.4044,3.5332
2.7,3,1.5766,3.7812,2.0,20.0,10.0,2.0,1.4043,3.5332
2.8,1,5.0115,2.4988,2.0,20.0,10.0,2.0,0.0,3.5354
2.8,2,1.7525,-0.1311,2.0,20.0,10.0,2.0,1.4077,3.5354
2.8,3,1.7525,3.8691,2.0,20.0,10.0,2.0,1.4077,3.5354
2.9,1,5.1903,2.5883,2.0,20.0,10.0,2.0,0.0,3.5372
2.9,2,1.9288,-0.0429,2.0,20.0,10.0,2.0,1.4107,3.5372
2.9,3,1.9287,3.9573,2.0,20.0,10.0,2.0,1.4106,3.5372
3.0,1,5.3692,2.6778,2.0,20.0,10.0,2.0,0.0,3.5388
3.0,2,2.1054,0.0455,2.0,20.0,10.0,2.0,1.4132,3.5388
3.0,3,2.1054,4.0456,2.0,20.0,10.0,2.0,1.4131,3.5388
3.1,1,5.5481,2.7674,2.0,20.0,10.0,2.0,0.0,3.5402
3.1,2,2.2823,0.134,2.0,20.0,10.0,2.0,1.4153,3.5402
3.1,3,2.2823,4.1341,2.0,20.0,10.0,2.0,1.4153,3.5402
3.2,1,5.7269,2.8569,2.0,20.0,10.0,2.0,0.0,3.5414
3.2,2,2.4595,0.2227,2.0,20.0,10.0,2.0,1.4172,3.5414
3.2,3,2.4595,4.2228,2.0,20.0,10.0,2.0,1.4172,3.5414
3.3,1,5.9058,2.9464,2.0,20.0,10.0,2.0,0.0,3.5424
3.3,2,2.637,0.3115,2.0,20.0,10.0,2.0,1.4188,3.5424
3.3,3,2.6369,4.3116,2.0,20.0,10.0,2.0,1.4188,3.5424
3.4,1,6.0846,3.0359,2.0,20.0,10.0,2.0,0.0,3.5433
3.4,2,2.8146,0.4003,2.0,20.0,10.0,2.0,1.4201,3.5433
3.4,3,2.8146,4.4004,2.0,20.0,10.0,2.0,1.4201,3.5433
3.5,1,6.2635,3.1254,2.0,20.0,10.0,2.0,0.0,3.5441
3.5,2,2.9924,0.4893,2.0,20.0,10.0,2.0,1.4213,3.5441
3.5,3,2.9924,4.4894,2.0,20.0,10.0,2.0,1.4213,3.5441
3.6,1,6.4423,3.2149,2.0,20.0,10.0,2.0,0.0,3.5447
3.6,2,3.1704,0.5784,2.0,20.0,10.0,2.0,1.4223,3.5447
3.6,3,3.1703,4.5784,2.0,20.0,10.0,2.0,1.4223,3.5447
3.7,1,6.6212,3.3044,2.0,20.0,10.0,2.0,0.0,3.5453
3.7,2,3.3484,0.6675,2.0,20.0,10.0,2.0,1.4232,3.5453
3.7,3,3.3484,4.6675,2.0,20.0,10.0,2.0,1.4232,3.5453
3.8,1,6.8,3.3939,2.0,20.0,10.0,2.0,0.0,3.5458
3.8,2,3.5266,0.7567,2.0,20.0,10.0,2.0,1.424,3.5458
3.8,3,3.5266,4.7567,2.0,20.0,10.0,2.0,1.424,3.5458
3.9,1,6.9789,3.4834,2.0,20.0,10.0,2.0,0.0,3.5462
3.9,2,3.7049,0.8459,2.0,20.0,10.0,2.0,1.4246,3.5462
3.9,3,3.7049,4.8459,2.0,20.0,10.0,2.0,1.4246,3.5462
4.0,1,7.1577,3.5729,2.0,20.0,10.0,2.0,0.0,3.5465
4.0,2,3.8832,0.9351,2.0,20.0,10.0,2.0,1.4252,3.5465
4.0,3,3.8832,4.9352,2.0,20.0,10.0,2.0,1.4252,3.5465
4.1,1,7.3366,3.6624,2.0,20.0,10.0,2.0,0.0,3.5468
4.1,2,4.0617,1.0244,2.0,20.0,10.0,2.0,1.4256,3.5468
4.1,3,4.0617,5.0245,2.0,20.0,10.0,2.0,1.4256,3.5468
4.2,1,7.5154,3.752,2.0,20.0,10.0,2.0,0.0,3.5471
4.2,2,4.2402,1.1137,2.0,20.0,10.0,2.0,1.4261,3.5471
4.2,3,4.2402,5.1138,2.0,20.0,10.0,2.0,1.426,3.5471
4.3,1,7.6943,3.8415,2.0,20.0,10.0,2.0,0.0,3.5473
4.3,2,4.4187,1.2031,2.0,20.0,10.0,2.0,1.4264,3.5473
4.3,3,4.4187,5.2031,2.0,20.0,10.0,2.0,1.4264,3.5473
4.4,1,7.8731,3.931,2.0,20.0,10.0,2.0,0.0,3.5475
4.4,2,4.5973,1.2925,2.0,20.0,10.0,2.0,1.4267,3.5475
4.4,3,4.5973,5.2925,2.0,20.0,10.0,2.0,1.4267,3.5475
4.5,1,8.052,4.0205,2.0,20.0,10.0,2.0,0.0,3.5477
