time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
1.4,1,2.2522,1.6599,2.0,20.0,20.0,2.0,0.0,0.8562
1.4,2,-0.8296,-1.1771,2.0,20.0,20.0,2.0,1.3678,0.8562
1.4,3,-0.9804,2.9586,2.0,20.0,20.0,2.0,1.4182,0.8562
1.4,4,18.2519,17.8128,2.0,20.0,20.0,2.0,25.5639,0.8562
1.4,5,17.6753,18.4458,2.0,20.0,20.0,2.0,22.8514,0.8562
1.5,1,2.4067,1.787,2.0,20.0,20.0,2.0,0.0,0.9174
1.5,2,-0.689,-1.0683,2.0,20.0,20.0,2.0,1.3899,0.9174
1.5,3,-0.8441,3.0594,2.0,20.0,20.0,2.0,1.447,0.9174
1.5,4,18.1268,17.6568,2.0,20.0,20.0,2.0,25.1661,0.9174
1.5,5,17.5089,18.3349,2.0,20.0,20.0,2.0,22.4528,0.9174
1.6,1,2.5608,1.9145,2.0,20.0,20.0,2.0,0.0,0.9781
1.6,2,-0.5465,-0.9571,2.0,20.0,20.0,2.0,1.4092,0.9781
1.6,3,-0.7052,3.1633,2.0,20.0,20.0,2.0,1.4721,0.9781
1.6,4,18.0015,17.5008,2.0,20.0,20.0,2.0,24.7681,0.9781
1.6,5,17.3426,18.2237,2.0,20.0,20.0,2.0,22.0541,0.9781
1.7,1,2.7146,2.0424,2.0,20.0,20.0,2.0,0.0,1.0384
1.7,2,-0.4026,-0.8438,2.0,20.0,20.0,2.0,1.4259,1.0384
1.7,3,-0.5641,3.2699,2.0,20.0,20.0,2.0,1.4939,1.0384
1.7,4,17.8762,17.345,2.0,20.0,20.0,2.0,24.3701,1.0384
1.7,5,17.1766,18.1123,2.0,20.0,20.0,2.0,21.6555,1.0384
1.8,1,2.8681,2.1706,2.0,20.0,20.0,2.0,0.0,1.0982
1.8,2,-0.2573,-0.7286,2.0,20.0,20.0,2.0,1.4405,1.0982
1.8,3,-0.4213,3.3791,2.0,20.0,20.0,2.0,1.5129,1.0982
1.8,4,17.7508,17.1892,2.0,20.0,20.0,2.0,23.9721,1.0982
1.8,5,17.0107,18.0005,2.0,20.0,20.0,2.0,21.2568,1.0982
1.9,1,3.0213,2.299,2.0,20.0,20.0,2.0,0.0,1.1575
1.9,2,-0.111,-0.6117,2.0,20.0,20.0,2.0,1.4532,1.1575
1.9,3,-0.2769,3.4905,2.0,20.0,20.0,2.0,1.5295,1.1575
1.9,4,17.6252,17.0335,2.0,20.0,20.0,2.0,23.574,1.1575
1.9,5,16.845,17.8885,2.0,20.0,20.0,2.0,20.8581,1.1575
2.0,1,3.1744,2.4278,2.0,20.0,20.0,2.0,0.0,1.2163
2.0,2,0.0362,-0.4933,2.0,20.0,20.0,2.0,1.4642,1.2163
2.0,3,-0.1313,3.604,2.0,20.0,20.0,2.0,1.5439,1.2163
2.0,4,17.4996,16.8779,2.0,20.0,20.0,2.0,23.1758,1.2163
2.0,5,16.6795,17.7762,2.0,20.0,20.0,2.0,20.4595,1.2163
2.1,1,3.3273,2.5567,2.0,20.0,20.0,2.0,0.0,1.2746
2.1,2,0.1841,-0.3736,2.0,20.0,20.0,2.0,1.4738,1.2746
2.1,3,0.0153,3.7193,2.0,20.0,20.0,2.0,1.5565,1.2746
2.1,4,17.3738,16.7225,2.0,20.0,20.0,2.0,22.7776,1.2746
2.1,5,16.5142,17.6636,2.0,20.0,20.0,2.0,20.0608,1.2746
2.2,1,3.4799,2.6859,2.0,20.0,20.0,2.0,0.0,1.3325
2.2,2,0.3327,-0.2526,2.0,20.0,20.0,2.0,1.4822,1.3325
2.2,3,0.1627,3.8363,2.0,20.0,20.0,2.0,1.5675,1.3325
2.2,4,17.2479,16.567,2.0,20.0,20.0,2.0,22.3794,1.3325
2.2,5,16.3491,17.5508,2.0,20.0,20.0,2.0,19.662,1.3325
2.3,1,3.6325,2.8153,2.0,20.0,20.0,2.0,0.0,1.3898
2.3,2,0.4819,-0.1306,2.0,20.0,20.0,2.0,1.4895,1.3898
2.3,3,0.3109,3.9548,2.0,20.0,20.0,2.0,1.5771,1.3898
2.3,4,17.1219,16.4117,2.0,20.0,20.0,2.0,21.9811,1.3898
